"id"	"anno"	"gene"	"A_met"	"A_unmet"	"B_met"	"B_unmet"	"p.value"	"rateA"	"rateB"	"diff"	"padj_fdr"	"log_padj_fdr"	"sig"
"ENSG00000100028"	"body"	"SNRPD3"	46.95	11.05	1.95	13.05	2.08548409337845e-06	80.95	13	-67.95	0.0104274204668923	1.98182311396562	TRUE
"ENSG00000174197"	"body"	"MGA"	36.08	14.92	0	11	1.52008575911758e-05	70.75	0	-70.75	0.0380021439779395	1.42019190097471	TRUE
"ENSG00000099250"	"body"	"NRP1"	61.95	5.05	3	7	3.24874569492219e-05	92.46	30	-62.46	0.0541457615820365	1.26643553337985	TRUE
"peak_8546"	"MCF7_H3K27ac_peaks"	"PAGR1"	18	0	0	6	7.4296412969182e-06	100	0	-100	0.0553062498142591	1.25722578901214	TRUE
"ENSG00000205336"	"body"	"GPR56"	41.09	11.91	3.96	14.04	5.00090313367316e-05	77.53	22	-55.53	0.0625112891709145	1.20404154454559	TRUE
"Repressed_8644"	"Repressed"	"DAND5"	26.01	0.99	1.98	7.02	3.24186707750143e-05	96.33	22	-74.33	0.0662475537287418	1.17883015394547	TRUE
"Repressed_8644"	"Repressed"	"NFIX"	26.01	0.99	1.98	7.02	3.24186707750143e-05	96.33	22	-74.33	0.0662475537287418	1.17883015394547	TRUE
"peak_7198"	"MCF7_H3K27ac_peaks"	"CRIP1"	33.96	6.04	2.04	9.96	2.52162174459496e-05	84.9	17	-67.9	0.0938547613338245	1.02754369034626	TRUE
"ENSG00000099866"	"CGI_promoter"	"MADCAM1"	17.01	4.99	2.04	14.96	6.86062977497906e-05	77.32	12	-65.32	0.114343829582984	0.941787266565453	FALSE
"ENSG00000140320"	"CGI_promoter"	"BAHD1"	0	19	5	0	2.35271974402409e-05	0	100	100	0.114343829582984	0.941787266565453	FALSE
"ENSG00000198837"	"CGI_promoter"	"DENND4B"	0	16	5	0	4.9142464003145e-05	0	100	100	0.114343829582984	0.941787266565453	FALSE
"ENSG00000059769"	"body"	"DNAJC25"	26.08	7.92	1.96	12.04	0.000186478818582976	76.71	14	-62.71	0.133199156130697	0.875498526584205	FALSE
"ENSG00000104529"	"body"	"EEF1D"	53.14	7.86	0.98	6.02	0.000170813390353734	87.11	14	-73.11	0.133199156130697	0.875498526584205	FALSE
"ENSG00000244115"	"body"	"DNAJC25-GNG10"	26.08	7.92	1.96	12.04	0.000186478818582976	76.71	14	-62.71	0.133199156130697	0.875498526584205	FALSE
"ENSG00000256861"	"body"	"RP11-512M8.5"	34.05	41.95	12	0	0.000243308542740587	44.8	100	55.2	0.152067839212867	0.81796262506105	FALSE
"ENSG00000198873"	"CGI_promoter"	"GRK5"	0	28	3	0	0.000222469410456062	0	100	100	0.185391175380052	0.731910942116873	FALSE
"ENSG00000204642"	"CGI_promoter"	"HLA-F"	0	17	4	0	0.000167084377610693	0	100	100	0.185391175380052	0.731910942116873	FALSE
"ENSG00000237649"	"CGI_promoter"	"KIFC1"	0	16	4	0	0.00020639834881321	0	100	100	0.185391175380052	0.731910942116873	FALSE
"ENSG00000074660"	"CGI_promoter"	"SCARF1"	9.01	0.99	0	8	0.000411353352529823	90.1	0	-90.1	0.205676676264911	0.686814954507318	FALSE
"ENSG00000126602"	"CGI_promoter"	"TRAP1"	0.99	39.01	3	0	0.000324122842557329	2.48	100	97.53	0.205676676264911	0.686814954507318	FALSE
"ENSG00000163590"	"CGI_promoter"	"PPM1L"	0	38	3	1	0.000348432055749129	0	75	75	0.205676676264911	0.686814954507318	FALSE
"ENSG00000185100"	"CGI_promoter"	"ADSSL1"	1	20	4	0	0.000395256916996048	4.76	100	95.24	0.205676676264911	0.686814954507318	FALSE
"ENSG00000078070"	"body"	"MCCC1"	33.94	6.06	0	5	0.000378143316316885	84.85	0	-84.85	0.210079620176047	0.677616076458309	FALSE
"ENSG00000178573"	"CGI_promoter"	"MAF"	1.94	23.06	7	3	0.000525935928016672	7.76	70	62.24	0.239061785462124	0.621489841238217	FALSE
"ENSG00000128973"	"body"	"CLN6"	23.05	25.95	20.02	1.98	0.000483510122157097	47.04	91	43.96	0.241755061078549	0.616624425309165	FALSE
"ENSG00000254806"	"body"	"SYS1-DBNDD2"	31.92	26.08	0	11	0.000539538883311196	55.03	0	-55.03	0.245244946959635	0.610399932083204	FALSE
"ENSG00000068796"	"body"	"KIF2A"	36.95	40.05	11	0	0.000778197691084806	47.99	100	52.01	0.252016129032258	0.598571663482141	FALSE
"ENSG00000161544"	"body"	"CYGB"	26.98	3.02	0	4	0.000754700707262378	89.93	0	-89.93	0.252016129032258	0.598571663482141	FALSE
"ENSG00000179913"	"body"	"B3GNT3"	22.96	2.04	0	4	0.000631552355690288	91.84	0	-91.84	0.252016129032258	0.598571663482141	FALSE
"ENSG00000183479"	"body"	"TREX2"	28	0	1	3	0.000806451612903226	100	25	-75	0.252016129032258	0.598571663482141	FALSE
"ENSG00000258484"	"body"	"SPESP1"	18.02	18.98	13	0	0.000684741897911436	48.7	100	51.3	0.252016129032258	0.598571663482141	FALSE
"ENSG00000079435"	"body"	"LIPE"	57.04	4.96	3.04	4.96	0.000953607029684443	92	38	-54	0.264890841579012	0.576933056880029	FALSE
"ENSG00000130164"	"body"	"LDLR"	76.92	14.08	1.02	4.98	0.000945296620558814	84.53	17	-67.53	0.264890841579012	0.576933056880029	FALSE
"ENSG00000130713"	"CGI_promoter"	"EXOSC2"	10.01	1.99	0.96	11.04	0.000644193604215142	83.42	8	-75.42	0.268414001756309	0.571194833037713	FALSE
"ENSG00000119333"	"body"	"WDR34"	18.98	4.02	0	5	0.00128205128205128	82.52	0	-82.52	0.322237693301787	0.491823659958064	FALSE
"ENSG00000155096"	"body"	"AZIN1"	28.83	52.17	9	1	0.00141784585052786	35.59	90	54.41	0.322237693301787	0.491823659958064	FALSE
"ENSG00000196950"	"body"	"SLC39A10"	33.97	28.03	13	0	0.00130613898890328	54.79	100	45.21	0.322237693301787	0.491823659958064	FALSE
"ENSG00000258677"	"body"	"RP11-463D19.2"	43.91	30.09	3.06	14.94	0.00135543385717388	59.34	17	-42.34	0.322237693301787	0.491823659958064	FALSE
"ENSG00000116698"	"body"	"SMG7"	52.02	5.98	1	4	0.00161932675444493	89.69	20	-69.69	0.352027555314115	0.453423340350034	FALSE
"ENSG00000089159"	"body"	"PXN"	91.28	9.72	6	6	0.00175989828926572	90.38	50	-40.38	0.366645476930359	0.435753668247268	FALSE
"ENSG00000172794"	"body"	"RAB37"	51.07	22.93	6.09	14.91	0.001902521290796	69.01	29	-40.01	0.3805042581592	0.419640478749661	FALSE
"ENSG00000125952"	"body"	"MAX"	52.99	7.01	1	4	0.00221334720277078	88.32	20	-68.32	0.425643692840535	0.370953797570203	FALSE
"ENSG00000140332"	"CGI_promoter"	"TLE3"	2.99	42.01	3	0	0.00115633672525439	6.64	100	93.36	0.444744894328613	0.351889028916072	FALSE
"ENSG00000043039"	"CGI_promoter"	"BARX2"	5	0	1.95	13.05	0.00135448916408669	100	13	-87	0.48374613003096	0.31538249631499	FALSE
"ENSG00000149187"	"body"	"CELF1"	39.99	16.01	2.99	10.01	0.0028338743767472	71.41	23	-48.41	0.524791551249481	0.280013165391667	FALSE
"ENSG00000172673"	"body"	"THEMIS"	39.08	8.92	2	6	0.0030794707820235	81.42	25	-56.42	0.54990549678991	0.259711939140461	FALSE
"ENSG00000069018"	"body"	"TRPC7"	18.95	18.05	11	0	0.0034131834524124	51.22	100	48.78	0.565930956423317	0.247236549506764	FALSE
"ENSG00000147117"	"body"	"ZNF157"	16	1	0	3	0.00350877192982456	94.12	0	-94.12	0.565930956423317	0.247236549506764	FALSE
"ENSG00000168118"	"body"	"RAB4A"	10	0	0	3	0.0034965034965035	100	0	-100	0.565930956423317	0.247236549506764	FALSE
"ENSG00000010361"	"CGI_promoter"	"FUZ"	1.95	17.05	3	0	0.00649350649350649	10.26	100	89.74	0.595238095238095	0.225309281725863	FALSE
"ENSG00000070718"	"CGI_promoter"	"AP3M2"	1.98	17.02	6.03	2.97	0.00484443093138744	10.42	67	56.58	0.595238095238095	0.225309281725863	FALSE
"ENSG00000080007"	"CGI_promoter"	"DDX43"	0	14	2	0	0.00833333333333334	0	100	100	0.595238095238095	0.225309281725863	FALSE
"ENSG00000090975"	"CGI_promoter"	"PITPNM2"	2.95	19.05	4.97	2.03	0.00791655454324119	13.41	71	57.59	0.595238095238095	0.225309281725863	FALSE
"ENSG00000100429"	"CGI_promoter"	"HDAC10"	0	12	4.02	1.98	0.00490196078431373	0	67	67	0.595238095238095	0.225309281725863	FALSE
"ENSG00000101126"	"CGI_promoter"	"ADNP"	0	21	2	0	0.00395256916996048	0	100	100	0.595238095238095	0.225309281725863	FALSE
"ENSG00000104866"	"CGI_promoter"	"PPP1R37"	4.01	25.99	3	0	0.00641495601173021	13.37	100	86.63	0.595238095238095	0.225309281725863	FALSE
"ENSG00000105641"	"CGI_promoter"	"SLC5A5"	13	1	0	3	0.00588235294117647	92.86	0	-92.86	0.595238095238095	0.225309281725863	FALSE
"ENSG00000107362"	"CGI_promoter"	"ABHD17B"	10	3	0	5	0.0065359477124183	76.92	0	-76.92	0.595238095238095	0.225309281725863	FALSE
"ENSG00000111145"	"CGI_promoter"	"ELK3"	0	17	2	0	0.00584795321637427	0	100	100	0.595238095238095	0.225309281725863	FALSE
"ENSG00000115211"	"CGI_promoter"	"EIF2B4"	11.99	13.01	0	11	0.00592594643173718	47.96	0	-47.96	0.595238095238095	0.225309281725863	FALSE
"ENSG00000115234"	"CGI_promoter"	"SNX17"	11.99	13.01	0	11	0.00592594643173718	47.96	0	-47.96	0.595238095238095	0.225309281725863	FALSE
"ENSG00000122729"	"CGI_promoter"	"ACO1"	5	0	0	5	0.00793650793650794	100	0	-100	0.595238095238095	0.225309281725863	FALSE
"ENSG00000124302"	"CGI_promoter"	"CHST8"	13.02	7.98	1.95	13.05	0.00574039409913813	62	13	-49	0.595238095238095	0.225309281725863	FALSE
"ENSG00000129250"	"CGI_promoter"	"KIF1C"	4.93	21.07	4	0	0.00459770114942528	18.96	100	81.04	0.595238095238095	0.225309281725863	FALSE
"ENSG00000134330"	"CGI_promoter"	"IAH1"	0	18	3	2	0.00564652738565782	0	60	60	0.595238095238095	0.225309281725863	FALSE
"ENSG00000135148"	"CGI_promoter"	"TRAFD1"	0.96	14.04	3	0	0.00490196078431373	6.4	100	93.6	0.595238095238095	0.225309281725863	FALSE
"ENSG00000137193"	"CGI_promoter"	"PIM1"	0	28	2	0	0.00229885057471265	0	100	100	0.595238095238095	0.225309281725863	FALSE
"ENSG00000137996"	"CGI_promoter"	"RTCA"	0	16	2	0	0.00653594771241829	0	100	100	0.595238095238095	0.225309281725863	FALSE
"ENSG00000139220"	"CGI_promoter"	"PPFIA2"	7.01	0.99	0	6	0.00466200466200466	87.62	0	-87.62	0.595238095238095	0.225309281725863	FALSE
"ENSG00000148296"	"CGI_promoter"	"SURF6"	6	1	0	7	0.00466200466200466	85.71	0	-85.71	0.595238095238095	0.225309281725863	FALSE
"ENSG00000148308"	"CGI_promoter"	"GTF3C5"	0	12	3	1	0.00714285714285715	0	75	75	0.595238095238095	0.225309281725863	FALSE
"ENSG00000155621"	"CGI_promoter"	"C9orf85"	10	3	0	5	0.0065359477124183	76.92	0	-76.92	0.595238095238095	0.225309281725863	FALSE
"ENSG00000155755"	"CGI_promoter"	"TMEM237"	1	12	3	0	0.00714285714285715	7.69	100	92.31	0.595238095238095	0.225309281725863	FALSE
"ENSG00000156486"	"CGI_promoter"	"KCNS2"	19.02	17.98	15.98	1.02	0.00211083270847738	51.41	94	42.59	0.595238095238095	0.225309281725863	FALSE
"ENSG00000158467"	"CGI_promoter"	"AHCYL2"	0.99	11.01	3	0	0.00879120879120878	8.25	100	91.75	0.595238095238095	0.225309281725863	FALSE
"ENSG00000160445"	"CGI_promoter"	"ZER1"	1.02	22.98	2	0	0.00923076923076923	4.25	100	95.75	0.595238095238095	0.225309281725863	FALSE
